 time            vo1             p1              p2             
 8.51378639e-07  1.00409815e+00  0.00000000e+00  1.80000000e+00 
 8.61378639e-07  1.00412950e+00  0.00000000e+00  1.80000000e+00 
 8.71378639e-07  1.00415392e+00  0.00000000e+00  1.80000000e+00 
 8.81378639e-07  1.00417293e+00  0.00000000e+00  1.80000000e+00 
 8.91378639e-07  1.00418773e+00  0.00000000e+00  1.80000000e+00 
 9.01378639e-07  1.00419925e+00  0.00000000e+00  1.80000000e+00 
 9.11378639e-07  1.00420823e+00  0.00000000e+00  1.80000000e+00 
 9.21378639e-07  1.00421522e+00  0.00000000e+00  1.80000000e+00 
 9.31378639e-07  1.00422066e+00  0.00000000e+00  1.80000000e+00 
 9.41378639e-07  1.00422490e+00  0.00000000e+00  1.80000000e+00 
 9.51378639e-07  1.00422820e+00  0.00000000e+00  1.80000000e+00 
 9.61378639e-07  1.00423077e+00  0.00000000e+00  1.80000000e+00 
 9.71378639e-07  1.00423277e+00  0.00000000e+00  1.80000000e+00 
 9.81378639e-07  1.00423433e+00  0.00000000e+00  1.80000000e+00 
 9.91378639e-07  1.00423554e+00  0.00000000e+00  1.80000000e+00 
 1.00000000e-06  1.00423637e+00  0.00000000e+00  1.80000000e+00 
 1.00001000e-06  1.00423637e+00  0.00000000e+00  1.62000000e+00 
 1.00002778e-06  1.00423637e+00  0.00000000e+00  1.30000000e+00 
 1.00003264e-06  1.00423637e+00  0.00000000e+00  1.21250000e+00 
 1.00004115e-06  1.00423637e+00  0.00000000e+00  1.05937500e+00 
 1.00005056e-06  1.00423969e+00  0.00000000e+00  8.89843750e-01 
 1.00006940e-06  1.00423969e+00  0.00000000e+00  5.50781250e-01 
 1.00010000e-06  1.00423969e+00  0.00000000e+00  0.00000000e+00 
 1.00010377e-06  1.00423969e+00  0.00000000e+00  0.00000000e+00 
 1.00011130e-06  1.00423969e+00  0.00000000e+00  0.00000000e+00 
 1.00012637e-06  1.00423969e+00  0.00000000e+00  0.00000000e+00 
 1.00015651e-06  1.00423969e+00  0.00000000e+00  0.00000000e+00 
 1.00021679e-06  1.00423969e+00  0.00000000e+00  0.00000000e+00 
 1.00033734e-06  1.00423969e+00  0.00000000e+00  0.00000000e+00 
 1.00057845e-06  1.00423969e+00  0.00000000e+00  0.00000000e+00 
 1.00106068e-06  1.00423969e+00  0.00000000e+00  0.00000000e+00 
 1.00202512e-06  1.00423969e+00  0.00000000e+00  0.00000000e+00 
 1.00395401e-06  1.00423969e+00  0.00000000e+00  0.00000000e+00 
 1.00500000e-06  1.00423969e+00  0.00000000e+00  0.00000000e+00 
 1.00501000e-06  1.00423969e+00  1.80000000e-01  0.00000000e+00 
 1.00502778e-06  1.00423969e+00  5.00000000e-01  0.00000000e+00 
 1.00503264e-06  1.00423969e+00  5.87500000e-01  0.00000000e+00 
 1.00504115e-06  1.00423969e+00  7.40625000e-01  0.00000000e+00 
 1.00504255e-06  1.00423969e+00  7.65842108e-01  0.00000000e+00 
 1.00504535e-06  1.00423969e+00  8.16276324e-01  0.00000000e+00 
 1.00504601e-06  1.00423969e+00  8.28117630e-01  0.00000000e+00 
 1.00504732e-06  1.00423969e+00  8.51800241e-01  0.00000000e+00 
 1.00504995e-06  1.00423969e+00  8.99165465e-01  0.00000000e+00 
 1.00505020e-06  4.49457642e-05  9.03631214e-01  0.00000000e+00 
 1.00505028e-06  5.96668118e-05  9.05078722e-01  0.00000000e+00 
 1.00505034e-06  7.04879113e-05  9.06131026e-01  0.00000000e+00 
 1.00505039e-06  7.88553020e-05  9.06942102e-01  0.00000000e+00 
 1.00505042e-06  8.53530811e-05  9.07571340e-01  0.00000000e+00 
 1.00505046e-06  9.25189504e-05  9.08265086e-01  0.00000000e+00 
 1.00505050e-06  1.00567950e-04  9.09044262e-01  0.00000000e+00 
 1.00505055e-06  1.09708575e-04  9.09929089e-01  0.00000000e+00 
 1.00505061e-06  1.20861867e-04  9.11008745e-01  0.00000000e+00 
 1.00505068e-06  1.34368678e-04  9.12316235e-01  0.00000000e+00 
 1.00505078e-06  1.51895827e-04  9.14012928e-01  0.00000000e+00 
 1.00505090e-06  1.75207494e-04  9.16269627e-01  0.00000000e+00 
 1.00505109e-06  2.09627932e-04  9.19601813e-01  0.00000000e+00 
 1.00505140e-06  2.66964010e-04  9.25152678e-01  0.00000000e+00 
 1.00505201e-06  3.81626347e-04  9.36254407e-01  0.00000000e+00 
 1.00505325e-06  6.10911739e-04  9.58457866e-01  0.00000000e+00 
 1.00505559e-06  1.04673075e-03  1.00067554e+00  0.00000000e+00 
 1.00506028e-06  1.91780120e-03  1.08511090e+00  0.00000000e+00 
 1.00506967e-06  3.65767435e-03  1.25398160e+00  0.00000000e+00 
 1.00508843e-06  7.12837069e-03  1.59172301e+00  0.00000000e+00 
 1.00510000e-06  9.26266172e-03  1.80000000e+00  0.00000000e+00 
 1.00510375e-06  9.95363094e-03  1.80000000e+00  0.00000000e+00 
 1.00511126e-06  1.13344179e-02  1.80000000e+00  0.00000000e+00 
 1.00512627e-06  1.40904739e-02  1.80000000e+00  0.00000000e+00 
 1.00515629e-06  1.95798607e-02  1.80000000e+00  0.00000000e+00 
 1.00521633e-06  3.04678157e-02  1.80000000e+00  0.00000000e+00 
 1.00533642e-06  5.18853007e-02  1.80000000e+00  0.00000000e+00 
 1.00557659e-06  9.33276136e-02  1.80000000e+00  0.00000000e+00 
 1.00605693e-06  1.70955029e-01  1.80000000e+00  0.00000000e+00 
 1.00701762e-06  3.07435758e-01  1.80000000e+00  0.00000000e+00 
 1.00825744e-06  4.52009135e-01  1.80000000e+00  0.00000000e+00 
 1.00968072e-06  5.82291753e-01  1.80000000e+00  0.00000000e+00 
 1.01097201e-06  6.73920742e-01  1.80000000e+00  0.00000000e+00 
 1.01226489e-06  7.45762097e-01  1.80000000e+00  0.00000000e+00 
 1.01343060e-06  7.96951449e-01  1.80000000e+00  0.00000000e+00 
 1.01467284e-06  8.40382041e-01  1.80000000e+00  0.00000000e+00 
 1.01597616e-06  8.76243385e-01  1.80000000e+00  0.00000000e+00 
 1.01742434e-06  9.07058949e-01  1.80000000e+00  0.00000000e+00 
 1.01898726e-06  9.32156817e-01  1.80000000e+00  0.00000000e+00 
 1.02072564e-06  9.52662525e-01  1.80000000e+00  0.00000000e+00 
 1.02262326e-06  9.68573847e-01  1.80000000e+00  0.00000000e+00 
 1.02475083e-06  9.80787465e-01  1.80000000e+00  0.00000000e+00 
 1.02712154e-06  9.89672538e-01  1.80000000e+00  0.00000000e+00 
 1.02983389e-06  9.95930827e-01  1.80000000e+00  0.00000000e+00 
 1.03295087e-06  1.00002261e+00  1.80000000e+00  0.00000000e+00 
 1.03663968e-06  1.00249678e+00  1.80000000e+00  0.00000000e+00 
 1.04108161e-06  1.00378904e+00  1.80000000e+00  0.00000000e+00 
 1.04665090e-06  1.00431695e+00  1.80000000e+00  0.00000000e+00 
 1.05392494e-06  1.00441522e+00  1.80000000e+00  0.00000000e+00 
 1.06392494e-06  1.00434322e+00  1.80000000e+00  0.00000000e+00 
 1.07392494e-06  1.00427523e+00  1.80000000e+00  0.00000000e+00 
 1.08392494e-06  1.00424541e+00  1.80000000e+00  0.00000000e+00 
 1.09392494e-06  1.00423775e+00  1.80000000e+00  0.00000000e+00 
 1.10392494e-06  1.00423764e+00  1.80000000e+00  0.00000000e+00 
 1.11392494e-06  1.00423871e+00  1.80000000e+00  0.00000000e+00 
 1.12392494e-06  1.00423937e+00  1.80000000e+00  0.00000000e+00 
 1.13392494e-06  1.00423960e+00  1.80000000e+00  0.00000000e+00 
