 time            vcmp            p1              p2             
 6.71265367e-06  1.41527519e+00  0.00000000e+00  0.00000000e+00 
 6.72604735e-06  1.41527520e+00  0.00000000e+00  0.00000000e+00 
 6.74332118e-06  1.41527520e+00  0.00000000e+00  0.00000000e+00 
 6.75000000e-06  1.41527520e+00  0.00000000e+00  0.00000000e+00 
 6.75296496e-06  1.41527520e+00  0.00000000e+00  4.44743361e-02 
 6.75889487e-06  1.41527520e+00  0.00000000e+00  1.33423008e-01 
 6.77075469e-06  1.41527520e+00  0.00000000e+00  3.11320353e-01 
 6.77823227e-06  1.41527520e+00  0.00000000e+00  4.23484071e-01 
 6.78667503e-06  1.41527520e+00  0.00000000e+00  5.50125440e-01 
 6.79344098e-06  1.41527520e+00  0.00000000e+00  6.51614775e-01 
 6.79836296e-06  1.41527520e+00  0.00000000e+00  7.25444431e-01 
 6.80120222e-06  1.41527723e+00  0.00000000e+00  7.68033304e-01 
 6.80273962e-06  1.41527066e+00  0.00000000e+00  7.91094349e-01 
 6.80455393e-06  1.41527705e+00  0.00000000e+00  8.18309022e-01 
 6.80641001e-06  1.41527530e+00  0.00000000e+00  8.46150164e-01 
 6.81012216e-06  1.41527512e+00  0.00000000e+00  9.01832448e-01 
 6.81754647e-06  1.41527519e+00  0.00000000e+00  1.01319702e+00 
 6.83239508e-06  1.41527520e+00  0.00000000e+00  1.23592615e+00 
 6.85000000e-06  1.41527520e+00  0.00000000e+00  1.50000000e+00 
 6.85246014e-06  1.41527520e+00  0.00000000e+00  1.50000000e+00 
 6.85738042e-06  1.41527520e+00  0.00000000e+00  1.50000000e+00 
 6.86722099e-06  1.41527520e+00  0.00000000e+00  1.50000000e+00 
 6.88690212e-06  1.41527520e+00  0.00000000e+00  1.50000000e+00 
 6.92626437e-06  1.41527520e+00  0.00000000e+00  1.50000000e+00 
 7.00498888e-06  1.41527520e+00  0.00000000e+00  1.50000000e+00 
 7.08772260e-06  1.41527520e+00  0.00000000e+00  1.50000000e+00 
 7.21061476e-06  1.41527520e+00  0.00000000e+00  1.50000000e+00 
 7.35708455e-06  1.41527521e+00  0.00000000e+00  1.50000000e+00 
 7.60643452e-06  1.41527521e+00  0.00000000e+00  1.50000000e+00 
 8.03990024e-06  1.41527522e+00  0.00000000e+00  1.50000000e+00 
 8.85000000e-06  1.41527524e+00  0.00000000e+00  1.50000000e+00 
 8.86000000e-06  1.41527524e+00  0.00000000e+00  1.35000000e+00 
 8.88000000e-06  1.41527524e+00  0.00000000e+00  1.05000000e+00 
 8.88458333e-06  1.41527524e+00  0.00000000e+00  9.81250000e-01 
 8.89260417e-06  1.41527524e+00  0.00000000e+00  8.60937500e-01 
 8.90148438e-06  1.41527524e+00  0.00000000e+00  7.27734375e-01 
 8.91924479e-06  1.41527524e+00  0.00000000e+00  4.61328125e-01 
 8.95000000e-06  1.41527524e+00  0.00000000e+00  0.00000000e+00 
 8.95355208e-06  1.41527524e+00  0.00000000e+00  0.00000000e+00 
 8.96065625e-06  1.41527524e+00  0.00000000e+00  0.00000000e+00 
 8.97486458e-06  1.41527524e+00  0.00000000e+00  0.00000000e+00 
 9.00000000e-06  1.41527524e+00  0.00000000e+00  0.00000000e+00 
 9.00195813e-06  1.41470496e+00  2.93720188e-02  0.00000000e+00 
 9.00587440e-06  1.41344358e+00  8.81160565e-02  0.00000000e+00 
 9.01081117e-06  1.41167436e+00  1.62167502e-01  0.00000000e+00 
 9.01373892e-06  1.41051656e+00  2.06083853e-01  0.00000000e+00 
 9.01636023e-06  1.40940148e+00  2.45403470e-01  0.00000000e+00 
 9.02005376e-06  1.40768808e+00  3.00806337e-01  0.00000000e+00 
 9.02160730e-06  1.40691225e+00  3.24109544e-01  0.00000000e+00 
 9.02385466e-06  1.40572581e+00  3.57819890e-01  0.00000000e+00 
 9.02652964e-06  1.40420585e+00  3.97944644e-01  0.00000000e+00 
 9.02940051e-06  1.40242947e+00  4.41007581e-01  0.00000000e+00 
 9.03079397e-06  1.40150775e+00  4.61909583e-01  0.00000000e+00 
 9.03277229e-06  1.40012660e+00  4.91584409e-01  0.00000000e+00 
 9.03370662e-06  1.39944295e+00  5.05599368e-01  0.00000000e+00 
 9.03458722e-06  1.39877925e+00  5.18808242e-01  0.00000000e+00 
 9.03530248e-06  1.39542731e+00  5.29537270e-01  0.00000000e+00 
 9.03568746e-06  1.38821066e+00  5.35311832e-01  0.00000000e+00 
 9.03617241e-06  1.38043336e+00  5.42586180e-01  0.00000000e+00 
 9.03671544e-06  1.37265268e+00  5.50731560e-01  0.00000000e+00 
 9.03741060e-06  1.36288723e+00  5.61158958e-01  0.00000000e+00 
 9.03880092e-06  1.34424292e+00  5.82013754e-01  0.00000000e+00 
 9.04158156e-06  1.30896577e+00  6.23723347e-01  0.00000000e+00 
 9.04451512e-06  1.27000123e+00  6.67726778e-01  0.00000000e+00 
