 time            vo1             vo2             q               p1              p2             
 3.62679278e-05 -1.50591688e-01 -7.39624917e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.62779278e-05 -1.50591688e-01 -7.39624947e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.62879278e-05 -1.50591688e-01 -7.39624963e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.62979278e-05 -1.50591688e-01 -7.39624971e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.63079278e-05 -1.50591688e-01 -7.39624975e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.63179278e-05 -1.50591688e-01 -7.39624977e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.63279278e-05 -1.50591688e-01 -7.39624978e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.63379278e-05 -1.50591687e-01 -7.39624978e-01  6.50968523e-08  1.20000000e+00  0.00000000e+00 
 3.63479278e-05 -1.50591687e-01 -7.39624978e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.63579278e-05 -1.50591687e-01 -7.39624978e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.63679278e-05 -1.50591687e-01 -7.39624978e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.63779278e-05 -1.50591687e-01 -7.39624977e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.63879278e-05 -1.50591687e-01 -7.39624977e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.63979278e-05 -1.50591687e-01 -7.39624977e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.64079278e-05 -1.50591687e-01 -7.39624976e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.64179278e-05 -1.50591687e-01 -7.39624976e-01  6.50968523e-08  1.20000000e+00  0.00000000e+00 
 3.64279278e-05 -1.50591687e-01 -7.39624976e-01  6.50968523e-08  1.20000000e+00  0.00000000e+00 
 3.64379278e-05 -1.50591687e-01 -7.39624975e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.64479278e-05 -1.50591687e-01 -7.39624975e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.64579278e-05 -1.50591687e-01 -7.39624975e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.64679278e-05 -1.50591686e-01 -7.39624974e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.64779278e-05 -1.50591686e-01 -7.39624974e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.64879278e-05 -1.50591686e-01 -7.39624973e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.64979278e-05 -1.50591686e-01 -7.39624973e-01  6.50968523e-08  1.20000000e+00  0.00000000e+00 
 3.65001000e-05 -1.50591686e-01 -7.39624973e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.65001100e-05 -1.50591686e-01 -7.39624973e-01 -2.16234327e-05  1.08000000e+00  0.00000000e+00 
 3.65001300e-05 -1.50591686e-01 -7.39624973e-01  6.21661202e-06  8.40000000e-01  0.00000000e+00 
 3.65001348e-05 -1.50591686e-01 -7.39624973e-01  7.32936210e-06  7.82500000e-01  0.00000000e+00 
 3.65001432e-05 -1.50591686e-01 -7.39624973e-01  1.47883250e-05  6.81875000e-01  0.00000000e+00 
